sl.no,Name,Symptoms,,,,,,
2,alopecia,"Alopecia areata is thought to be a systemic autoimmune disorder in which the body attacks its own anagen hair follicles and suppresses or stops hair growth.[9] For example, T cell lymphocytes cluster around affected follicles, causing inflammation and subsequent hair loss. Hair follicles in a normal state are thought to be kept secure from the immune system, a phenomenon called immune privilege. A breach in this immune privilege state is considered as the cause of alopecia areata.[4] A few cases of babies being born with congenital alopecia areata have been reported. Alopecia areata is not contagious.[9] It occurs more frequently in people who have affected family members, suggesting heredity may be a factor.[9] Strong evidence of genetic association with increased risk for alopecia areata was found by studying families with two or more affected members. This study identified at least four regions in the genome that are likely to contain these genes.[12] In addition, alopecia areata shares genetic risk factors with other autoimmune diseases, including rheumatoid arthritis, type 1 diabetes, and celiac disease.[3] It may be the only manifestation of celiac disease. Endogenous retinoids metabolic defect is a key part of the pathogenesis of the alopecia areata.",,,,,,
2,alopecia,"Hair loss, also known as alopecia or baldness, refers to a loss of hair from part of the head or body.[1] Typically at least the head is involved.[3] The severity of hair loss can vary from a small area to the entire body.[6] Inflammation or scarring is not usually present.[3] Hair loss in some people causes psychological distress. Common types include male- or female-pattern hair loss, alopecia areata, and a thinning of hair known as telogen effluvium.[3] The cause of male-pattern hair loss is a combination of genetics and male hormones; the cause of female pattern hair loss is unclear; the cause of alopecia areata is autoimmune; and the cause of telogen effluvium is typically a physically or psychologically stressful event.[3] Telogen effluvium is very common following pregnancy. Less common causes of hair loss without inflammation or scarring include the pulling out of hair, certain medications including chemotherapy, HIV/AIDS, hypothyroidism, and malnutrition including iron deficiency.[2][3] Causes of hair loss that occurs with scarring or inflammation include fungal infection, lupus erythematosus, radiation therapy, and sarcoidosis.[2][3] Diagnosis of hair loss is partly based on the areas affected. Treatment of pattern hair loss may simply involve accepting the condition, which can also include shaving one's head.[3] Interventions that can be tried include the medications minoxidil (or finasteride) and hair transplant surgery.[4][5] Alopecia areata may be treated by steroid injections in the affected area, but these need to be frequently repeated to be effective.[3] Hair loss is a common problem.[3] Pattern hair loss by age 50 affects about half of men and a quarter of women.[3] About 2% of people develop alopecia areata at some point in time.",,,,,,
2,alopecia,"Symptoms of hair loss include hair loss in patches usually in circular patterns, dandruff, skin lesions, and scarring. Alopecia areata (mild – medium level) usually shows in unusual hair loss areas, e.g., eyebrows, backside of the head or above the ears, areas the male pattern baldness usually does not affect. In male-pattern hair loss, loss and thinning begin at the temples and the crown and hair either thins out or falls out. Female-pattern hair loss occurs at the frontal and parietal. People have between 100,000 and 150,000 hairs on their head. The number of strands normally lost in a day varies but on average is 100.[8] In order to maintain a normal volume, hair must be replaced at the same rate at which it is lost. The first signs of hair thinning that people will often notice are more hairs than usual left in the hairbrush after brushing or in the basin after shampooing. Styling can also reveal areas of thinning, such as a wider parting or a thinning crown.",,,,,,
2,alopecia,"Male pattern baldness (alopecia), or androgenetic alopecia, is the patterned balding of a man. Although the condition may affect both the appearance and self-esteem of some men, one should note that the condition is not a medical disorder. The hair loss is non-scarring and has a genetic basis. Sex steroids (androgens) – specifically, dihydrotestosterone – play a role in this form of balding.",,,,,,
2,alopecia,"The most common location for male pattern baldness occurs at the frontal hairline. Hair loss may move toward the back of the scalp (posteriorly), or it may be first noted as thinning at the crown of the scalp. While the underlying scalp may appear normal, a man might see miniaturized hair follicles.",,,,,,
2,alopecia,"Female pattern baldness (alopecia) is a form of hair loss affecting women due to an inherited susceptibility. It is most commonly noticed after menopause, although it may begin earlier. Female pattern baldness is due to a combination of a family history of balding (in men or women from either parent's side of the family), aging, and hormones. Female pattern baldness is not due to a vitamin deficiency, poor circulation, dandruff, or wearing hats. There is progressive shrinking of the hair follicles until they produce only a fine, wispy hair or cease functioning.",,,,,,
2,alopecia,The pattern of hair loss is different in women than men; the hairline is preserved while there is diffuse thinning of the hair of the crown and frontal scalp. Total hair loss is very rare.,,,,,,
2,alopecia,"Alopecia areata is an autoimmune condition resulting in hair loss. The immune system of the body mistakenly stops hair growth for unknown reasons. Hair loss may be patchy or sparse and may involve the rest of the body in addition to the scalp. Hair in most people spontaneously regrows, though recurrences of the condition are also typical. Genetic and environmental factors play a role in hair loss; the condition may be seasonal as well.",,,,,,
2,alopecia,"Hair loss most commonly occurs on the scalp, but it can also target the eyebrows, eyelashes, beard, and other body sites. Symptoms may include the following: Round, patchy areas of non-scarring hair loss, ranging from mild to severe.  Mild: 1–5 scattered areas of hair loss on the scalp and beard. Moderate: More than 5 scattered areas of hair loss on the scalp and beard. Severe: loss of all of the hair on the scalp and body.  Scalp burning (without redness), accompanying lesions. Pitting and ridging of the fingernails. Hairs that do grow back often lack color, or may be either temporarily or permanently white. This hypopigmentation is not seen in other forms of alopecia.",,,,,,
2,alopecia,"Alopecia areata is an autoimmune disorder that causes your hair to come out, often in clumps the size and shape of a quarter. The amount of hair loss is different in everyone. Some people lose it only in a few spots. Others lose a lot. Sometimes, hair grows back but falls out again later. In others, hair grows back for good. There are different types of this condition. Alopecia areata is most common in its main form, but there are other, more rare types: Alopecia areata totalis means you’ve lost all the hair on your head. Alopecia areata universalis is the loss of hair over your entire body. Diffuse alopecia areata is a sudden thinning of your hair rather than lost patches. Ophiasis alopecia areata causes hair loss in a band shape around the sides and back of your head.",,,,,,
2,alopecia,"The main and often the only symptom of alopecia is hair loss. Small bald patches on your scalp or other parts of your body. Patches may get larger and grow together into a bald spot. Hair grows back in one spot and falls out in another. You lose a lot of hair over a short time. More hair loss in cold weather. Fingernails and toenails become red, brittle, and pitted. The bald patches of skin are smooth, with no rash or redness. But you may feel a tingling, itching, or burning sensation on your skin right before the hair falls out.",,,,,,
2,alopecia,"Alopecia areata is a condition that causes hair to fall out in small patches, which can be unnoticeable. These patches may connect, however, and then become noticeable. The condition develops when the immune system attacks the hair follicles, resulting in hair loss. Sudden hair loss may occur on the scalp, and in some cases the eyebrows, eyelashes, and face, as well as other parts of the body. It can also develop slowly and recur after years between instances. The condition can result in total hair loss, called alopecia universalis, and it can prevent hair from growing back. When hair does grow back, it’s possible for the hair to fall out again. The extent of hair loss and regrowth varies from person to person. There’s currently no cure for alopecia areata. However, there are treatments that may help hair grow back more quickly and that can prevent future hair loss, as well as unique ways to cover up the hair loss. Resources are also available to help people cope with stress related to hair loss.",,,,,,
2,alopecia,"Alopecia areata is peculiar form of hair loss that usually affects the scalp but can occur on any hair-bearing skin. Alopecia areata produces one or more patches of balding without any obvious change in the texture of the affected skin, a non-scarring alopecia. Alopecia areata affects males and females. It is thought to be an autoimmune disorder, in which hair follicles, are damaged by a misguided immune system. For most patients, the condition resolves without treatment within a year, but hair loss is sometimes permanent.",,,,,,
2,alopecia,"Current evidence suggests that alopecia areata is caused by an abnormality in the immune system that damages hair follicles. This particular abnormality leads to autoimmunity, a misguided immune system that tends to attack its own body. As a result, the immune system attacks particular tissues of the body. In alopecia areata, for unknown reasons, the body's own immune system attacks the hair follicles and disrupts normal hair formation. Biopsies of affected skin show immune lymphocytes penetrating into the hair bulb of the hair follicles.",,,,,,
2,alopecia,"Sudden hair loss that starts with one or more circular bald patches that may overlap. Alopecia areata occurs when the immune system attacks hair follicles and may be brought on by severe stress.The main symptom is hair loss.Treatment may address any underlying conditions and includes topical scalp medication. The term alopecia means hair loss. In alopecia areata, one or more round bald patches appear suddenly, most often on the scalp. Alopecia areata is also called autoimmune alopecia, which can also cause diffuse alopecia. ",,,,,,
2,alopecia,"Several clinical patterns of alopecia areata are described. More severe disease is associated with young age, concurrent atopic eczema, and chromosomal abnormalities. Most patients have no symptoms, and a bald patch or thinning hair is noted incidentally, often discovered by a hairdresser. Other patients describe a burning, prickly discomfort in the affected areas—this is known as trichodynia. Patches of alopecia areata can affect any hair-bearing area, most often the scalp, eyebrows, eyelashes and beard. Sudden loss of hair Enlargement of bald patch or patches Regrowth of hair The bald areas may have a smooth surface, completely devoid of hair or with scattered 'exclamation mark' hairs. Exclamation mark hairs are 2 to 3 mm in length, broken or tapered, with a club-shaped root. Microscopy (also called dermoscopy or trichoscopy) shows a thin proximal shaft and normal calibre distal shaft. Regrowing hairs are often initially white or grey; they may be curly even when previously straight. It may take months and sometimes years to regrow all the hair. One patch can be falling out while another is regrowing.",,,,,,
3,actinic cheilitis,Actinic cheilitis (AC) is a lip inflammation caused by long-term sunlight exposure. It usually appears as very chapped lips,then may turn white or scaly. AC may be painless,but it can lead to squamous cell carcinoma if left untreated. Squamous cell carcinoma is a type of skin cancer. You should see a doctor if you notice this type of patch on your lip.AC most often appears in people over 40 and is more common in men than women. People who spend a lot of time in the sun are most likely to develop AC. So if you’re often outside,you should take precautions to protect yourself,such as wearing lip balm with SPF.The first symptom of AC is usually dry,cracking lips. You might then develop either a red and swollen or white patch on your lip. This will almost always be on the lower lip. In more advanced AC,the patches might look scaly and feel like sandpaper. You might also notice that the line between your lower lip and skin becomes less clear. These discolored or scaly patches of skin are almost always painles
3,actinic cheilitis,"Actinic cheilitis presents as diffuse or patchy dryness and variable thickening of the vermilion of the lower lip. The common form of actinic cheilitis is due to chronic sun exposure and is the lip form of actinic keratosis. It is also called actinic cheilosis, solar cheilitis, and sometimes, actinic cheilitis with histological atypia.Actinic cheilitis also describes lip involvement in actinic prurigo, a rare form of photosensitivity.Actinic cheilitis mainly affects adults with fair skin who live in tropical or subtropical areas, especially outdoor workers. They often recall having sunburned lips in earlier years. They may also have actinic keratoses on other sun-exposed sites of the scalp, ears, face and hands.",,,,,,
3,actinic cheilitis,"Actinic cheilitis causes dryness and thickening typically along the line that separates the lips from the skin of the face, otherwise known as the lower vermillion border.Actinic cheilitis is a precancerous condition caused by damage to the lip epithelium, which is the outer most tissue layer. The condition itself is not considered a serious health concern, but it increases the risk of skin cancer.Most people with actinic cheilitis develop similar symptoms. About 90 percent of cases involve the lower lip.",,,,,,
3,actinic cheilitis,"Common signs of actinic cheilitis include:overall drynessscaly plaques or scab-like lesionsthin, delicate patches of skinloss of the demarcation between the lower lip and surrounding skininflammationtenderness or sorenessfissuring or skin breakage and separationleukokeratosis or white scaly patchesdiscolorationmore noticeable or prominent lip folds or linestightness and wrinkled skin",,,,,,
3,actinic cheilitis,"In actinic cheilitis, the current view is that the keratinocytes have undergone transformation forming a field of epithelium with the potential for neoplastic transformation. Clinical features include diffuse and poorly demarcated atrophic, erosive or keratotic plaques that may affect some parts of, or the entire vermilion border. Fair-complexioned people, those with albinism and people with eversion of the lip are all subject to actinic cheilitis. Prophylactic measures against all forms of sunlight-induced lesions must include limitation of exposure to the sun during peak sunlight hours, the use of appropriate protective clothing, and the use of a sunscreen cream. In this article, a case of albinism is used to illustrate the nature of actinic cheilitis, its clinical features and its treatment.",,,,,,
3,actinic cheilitis,"Actinic cheilitis is a pathological condition that most frequently affects the vermilion border of the lower lip.1–3 In persons with everted lower lips, as a racial characteristic or as an inherited trait, the mucosal surface of the lower lip, which is partly exposed to sunlight, is also affected. When both the upper and lower lips are prominent, as in bimaxillary protrusion, the upper lip may also be more vulnerable to sunlight exposure. In the past, actinic cheilitis was regarded as being potentially malignant, with not infrequent transformation into invasive, metastasizing squamous cell carcinoma.An alternative view states that the keratinocytes in actinic cheilitis have already undergone ultraviolet light-induced molecular and genetic transformation into neoplastic keratinocytes, that actinic cheilitis is in fact the result of clonal expansion of the transformed keratinocytes,3–7 and that it should be considered from its initiation to be an in-situ squamous cell carcinoma.8",,,,,,
3,actinic cheilitis,"Actinic cheilitis is cheilitis (lip inflammation) caused by long term sunlight exposure. Essentially it is a burn,[2] and a variant of actinic keratosis which occurs on the lip.[5] It is a premalignant condition,[6] as it can develop into squamous cell carcinoma (a type of mouth cancer).AC almost always affects the lower lip and only rarely the upper lip, probably because the lower lip is more exposed to the sun.[7] In the unusual cases reported where it affects the upper lip, this may be due to upper lip prominence.[7] The commissures (corners of the mouth) are not usually involved.Affected individuals may experience symptoms such as a dry sensation and cracking of the lips.It is usually painless and persistent.There is thickening whitish discoloration of the lip at the border of the lip and skin. There is also a loss of the usually sharp border between the red of the lip and the normal skin, known as the vermillion border. The lip may become scaly and indurated as AC progresses.",,,,,,
3,actinic cheilitis,"AC is the acronym for actinic cheilitis and is a condition where the lower lip becomes dry, rough, and thick with scales. It is mainly caused by the excessive exposure of the lips to the sun, and for this reason, actinic cheilitis is also known as solar cheilitis.It mostly affects men above 20 years of age, the elderly, and people who reside in hot tropical regions and dry places like deserts. Individuals most at risk include those with low immunity, a fair complexion, and those who have undergone organ transplants.Once detected, it is important to seek treatment for this disease as early as possible. Initially, treatment may cause some pain, swelling, and other effects, but these can be cured after completion of targeted therapies. There are many methods for treatment for AC, including carbon dioxide laser vaporization, electrosurgery, and cryosurgery.",,,,,,
3,actinic cheilitis,"Actinic cheilitis, sometimes known as ""farmer's lip"" or ""sailor's lip,"" is a precancerous condition related to cumulative lifetime sun exposure. The lower lip is most often affected. Individuals with actinic cheilitis often complain of persistent dryness and cracking of the lips. They will frequently exhibit other effects of sun-damaged skin, such as precancerous lesions on the skin called actinic keratoses and extensive wrinkling.A certain type of skin cancer (squamous cell carcinoma) develops in 6–10% of cases of actinic cheilitis.Actinic cheilitis is significantly more common in men, the elderly, and fair-skinned individuals. There is also a strong association with tobacco use.",,,,,,
3,actinic cheilitis,"the cause? Solar cheilitis (also known as actinic cheilitis or cheilosis) is a degenerative condition of the tissue of the lips after years of exposure to ultraviolet (UV, mainly UVB) light, such as sunlight. It is a premalignant condition.Who is most at risk? Solar cheilitis is more common in adults and the risk increases with age. Men are affected more commonly than women. Individuals with fair skin (less protected from the sunlight) have a higher rate of solar changes. Outdoor workers who do not use sun protection are particularly at risk.Solar cheilitis predominantly affects the lower lip because it tends to be more prominent. The homogenous pink color of the healthy lip (Figure A) is replaced with non-homogenous white/gray, pink, red, or brown areas and the normally sharp vermillion/skin border becomes less distinct (Figure B). In more advanced stages, the lip may appear cracked or show ulcerations (ie sores) or crusting. Firmness or a non-healing ulcer within these changes may indicate an early cancer",,,,,,
3,actinic cheilitis,"Actinic cheilitis (AC) is a chronic inflammatory disorder of the lips that is caused by prolonged exposure to sunlight in susceptible individuals. It affects the vermilion region of the lower lip almost exclusively. UV-B rays with a wavelength of 290-320 nm are held responsible for the sunlight-induced damage. The exact mechanism of the development of AC is unclear. It is considered to be potentially malignant.Actinic cheilitis (AC) is a chronic inflammatory disorder of the lips that is caused by prolonged exposure to sunlight in susceptible individuals. The word has been derived from the Greek words ""aktis"" meaning ""ray"" and ""cheilos"" meaning ""lips.""  It manifests almost exclusively on the vermilion regions of the lower lip. The vermilion border is the transition zone between the dry skin and the wet mucosa of the lips and has no secretory elements beneath it. Vermilion border of the lower lip is exposed to the environment and is more prone to develop various disorders than the upper lip.",,,,,,
3,actinic cheilitis,"AC affects the lower lip exclusively because of its anatomic orientation that exposes it to sunlight. Although AC is considered to occur commonly in fair-skinned people, it is also found in dark-skinned people of India. Though AC can affect both men and women, men are affected much more commonly than women. This may be due to the fact that the professions involving outdoor work and exposure to sunlight are predominantly male oriented. However, women sharing professions like farm and field work, and construction work with men can be affected equally. AC may occur in a wide range of age, from 20 to 80 years. AC initially occurs as an asymptomatic dry lip affecting the lower lip vermilion.The best way of prevention of AC is to avoid prolonged exposure to direct sunlight. Alternatively, the use of sun screens can help in preventing sunlight-induced damage. Chemical sunscreens absorb potentially harmful ultraviolet light, whereas physical sunscreens reflect it.",,,,,,
3,actinic cheilitis,"Actinic cheilitis has proved to be a condition for which CO2 laser therapy is considered the treatment of choice. It can be successfully treated by performing a laser vermilionectomy using any of the resurfacing lasers.This procedure usually requires only one pass with the laser over the vermilion surface and then spot treatment of persistently visible actinic damage. This has significantly reduced postoperative healing to approximately 10 days, in contrast to the 4 weeks required when the conventional CO2 laser was used in the past.Similar to actinic keratosis of the skin, actinic cheilitis (better actinic or solar cheilosis, because the initial changes are noninflammatory) represents a premalignant lesion of the vermilion, especially of the lower lip, caused by alterations induced by the ultraviolet components (ultraviolet B) of the sunlight. Actinic cheilitis is found especially in light-complexioned persons with a tendency to sunburn. Most patients are older than 50 years. Outdoor workkers are at risk.",,,,,,
